,ID,NPINUM,MCRNUM,MNAME,SYSNAME,SYSID,STCD,DTBEG,DTEND,FISYR,SERV,HSACODE,HSANAME,HRRNAME,HRRCODE,MLOCADDR,MLOCCITY,MLOCSTD,MLOCZIP,SYSADDR,SYSCITY,SYSST,SYSZIP,SYSAREA,SYSTELN,SYSTEM_PRIMARY_CONTACT,SYSTITLE,LAT,LONG,CNTYNAME,CBSANAME,CBSATYPE,CBSACODE,DIVNAME,DIVCODE,CSANAME,CSACODE,MCNTYCD,FCOUNTY,FSTCD,FCNTYCD,CNTRL,ControlCode,zipcode,address
14,6040054,,400032,Hospital Hermanos Melendez,,,4,,,,10,,,,,"Route 2, KM 11-7",Bayamon,,00960,,,,,,,,,18.3935,-66.1605,"Bayamon, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,21,72021,72,21,33,for-profit,nan,
15,6040055,,400109,Hospital San Pablo,,,4,10116.0,123116.0,10117.0,10,,,,,Calle Santa Cruz 70,Bayamon,,00961-7020,,,,,,,,,18.397256,-66.14891899999999,"Bayamon, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,21,72021,72,21,33,for-profit,nan,
16,6040070,,400010,Castaner General Hospital,,,4,,,,10,,,,,"KM 64-2, Route 135",Castaner,,00631,,,,,,,,,18.2094,-66.865,"Lares, PR","Aguadilla-Isabela, PR",Metro,10380,,,,,81,72081,72,81,23,non-profit,nan,
17,6040080,,400013,Hospital Menonita De Cayey,,,4,10116.0,123116.0,40117.0,10,,,,,4 H Mendoza Street,Cayey,,00736-3801,,,,,,,,,18.1124,-66.1651,"Cayey, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,35,72035,72,35,23,non-profit,nan,
18,6040090,1275580763.0,400106,Hospital Metropolitan,,,4,,,,10,,,,,1785 Carr 21,San Juan,,00921-3399,,,,,,,,,18.4046,-66.1579,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,nan,
19,6040110,1750316006.0,400125,Hospital San Pablo Del Este,,,4,10116.0,123116.0,10117.0,10,,,,,"Avenida General Valero, 404",Fajardo,,00738,,,,,,,,,18.3356,-65.6535,"Fajardo, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,53,72053,72,53,33,for-profit,nan,
20,6040115,,400102,Doctor's Center of Bayamon,,,4,,,,10,,,,,Extension Hermanas Davila,Bayamon,,00960,,,,,,,,,18.3935,-66.1605,"Bayamon, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,21,72021,72,21,33,for-profit,nan,
21,6040129,,403026,HEALTHSOUTH Hospital of Manati,HEALTHSOUTH Corporation,23.0,4,,,,46,,,,,"Carretera 2, Kilometro 47 7",Manati,,00674,"3660 GRANDVIEW PARKWAY, SUITE 200",BIRMINGHAM,AL,35243-3332,205.0,9677116.0,Mr. Mark J Tarr,President and Chief Executive Officer,18.3927,-66.0745,"Manati, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,91,72091,72,91,33,for-profit,35243,"3660 GRANDVIEW PARKWAY, SUITE 200 , BIRMINGHAM , AL , 35243"
22,6040145,,400048,Hospital Episcopal San Lucas Guayama,,,4,10116.0,123116.0,10117.0,10,,,,,Avenue Pedro Albizu Campos,Guayama,,00784,,,,,,,,,17.983,-66.1225,"Guayama, PR","Guayama, PR",Metro,25020,,,"San Juan-Carolina, PR",490.0,57,72057,72,57,21,non-profit,nan,
23,6040155,,400016,Auxilio Mutuo Hospital,,,4,,,,10,,,,,Ponce De Leon Avenue,San Juan,,00918-1000,,,,,,,,,18.4193,-66.0645,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,23,non-profit,nan,
24,6040157,,400004,Hospital Del Maestro,,,4,,,,10,,,,,550 Sergio Cuevas,San Juan,,00918-3741,,,,,,,,,18.411191,-66.06802900000001,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,nan,
25,6040160,,400011,Hospital Oriente,,,4,,,,10,,,,,300 Font Martelo Street,Humacao,,00791-3230,,,,,,,,,18.1511,-65.8188,"Humacao, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,69,72069,72,69,33,for-profit,nan,
26,6040165,,400005,Hospital HIMA de Humacao,,,4,10116.0,123116.0,10117.0,10,,,,,3 Font Martelo Street,Humacao,,00791-3342,,,,,,,,,18.1508,-65.8286,"Humacao, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,69,72069,72,69,33,for-profit,nan,
27,6040170,,400007,Ryder Memorial Hospital,,,4,10116.0,123116.0,10117.0,10,,,,,355 Font Martelo Street,Humacao,,00791-3249,,,,,,,,,18.153399,-65.833927,"Humacao, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,69,72069,72,69,23,non-profit,nan,
28,6040175,,400110,Hospital Pavia Yauco,,,4,10116.0,123116.0,10117.0,10,,,,,Carretera 128 KM 1.0,Yauco,,00698,,,,,,,,,18.0464,-66.8591,"Yauco, PR","Ponce, PR",Metro,38660,,,"Ponce-Coamo-Santa Isabel, PR",434.0,153,72153,72,153,33,for-profit,nan,
29,6040192,1851320394.0,400018,Mennonite General Hospital,,,4,,,,10,,,,,Calle Jose C Vasquez,Aibonito,,00705,,,,,,,,,18.1358,-66.2651,"Aibonito, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,9,72009,72,9,23,non-profit,nan,
30,6040215,,400123,Hospital Perea,United Medical Corporation,9605.0,4,,,,10,,,,,15 Basora Street,Mayaguez,,00681,603 MAIN STREET,WINDERMERE,FL,34786-3548,407.0,8762200.0,Mr. Donald R Dizney,Chairman and Chief Executive Officer,18.2038,-67.1445,"Mayaguez, PR","Mayaguez, PR",Metro,32420,,,"Mayaguez-San German, PR",364.0,97,72097,72,97,33,for-profit,34786,"603 MAIN STREET , WINDERMERE , FL , 34786"
31,6040220,,400014,Bella Vista Hospital,,,4,,,,10,,,,,State Road 349,Mayaguez,,00680,,,,,,,,,18.2008,-67.1224,"Mayaguez, PR","Mayaguez, PR",Metro,32420,,,"Mayaguez-San German, PR",364.0,97,72097,72,97,21,non-profit,nan,
32,6040230,,400003,Dr. Pila's Hospital,,,4,,,,10,,,,,Avenida Las Americas,Ponce,,00731,,,,,,,,,18.0924,-66.6309,"Ponce, PR","Ponce, PR",Metro,38660,,,"Ponce-Coamo-Santa Isabel, PR",434.0,113,72113,72,113,23,non-profit,nan,
33,6040250,1730159286.0,400022,Hospital De Damas,,,4,10116.0,123116.0,10117.0,10,,,,,2213 Ponce Bypass,Ponce,,00717,,,,,,,,,18.0924,-66.6309,"Ponce, PR","Ponce, PR",Metro,38660,,,"Ponce-Coamo-Santa Isabel, PR",434.0,113,72113,72,113,23,non-profit,nan,
34,6040260,1841295557.0,400044,St. Luke's Episcopal Hospital,,,4,,,,10,,,,,917 Tito Castro Avenue,Ponce,,00731-4717,,,,,,,,,18.0266,-66.5987,"Ponce, PR","Ponce, PR",Metro,38660,,,"Ponce-Coamo-Santa Isabel, PR",434.0,113,72113,72,113,21,non-profit,nan,
35,6040290,,400103,Dr. Ramon E. Betances Hospital-Mayaguez Medical Center Branch,,,4,10116.0,123116.0,10117.0,10,,,,,410 Hostos Avenue,Mayaguez,,00680-1501,,,,,,,,,18.1806,-67.1573,"Mayaguez, PR","Mayaguez, PR",Metro,32420,,,"Mayaguez-San German, PR",364.0,97,72097,72,97,33,for-profit,nan,
36,6040294,,400105,Hospital Universitario Dr. Ramon Ruiz Arnau,Puerto Rico Department of Health,11.0,4,,,,10,,,,,"Avenue Laurel #100, Santa Juanita",Bayamon,,00956,BUILDING 'A' - MEDICAL CENTER,SAN JUAN,PR,00936,787.0,7652929.0,Mr. Rafael Rodriguez Mercado,Secretary of Health,18.3539,-66.1642,"Bayamon, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,21,72021,72,21,12,Government-NonFederal,00936,"BUILDING 'A' - MEDICAL CENTER , SAN JUAN , PR , 00936"
37,6040300,,404006,Hospital de Psiquiatria,,,4,70115.0,63016.0,70116.0,22,,,,,"Dr. Ramon Fernandez Marina, P O Box 2100",San Juan,,00936,,,,,,,,,18.4174,-66.0761,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,12,Government-NonFederal,nan,
38,6040325,,400118,Doctors Center,,,4,,,,10,,,,,KM 47-7,Manati,,00674,,,,,,,,,18.4276,-66.4843,"Manati, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,91,72091,72,91,33,for-profit,nan,
39,6040345,,400021,Hospital De La Concepcion,,,4,10116.0,123116.0,10117.0,10,,,,,"Carr 2, Km 173, Bo Cain Alto",San German,,00683-3920,,,,,,,,,18.0926,-67.0404,"San German, PR","San German, PR",Metro,41900,,,"Mayaguez-San German, PR",364.0,125,72125,72,125,21,non-profit,nan,
40,6040349,,404008,INSPIRA Ponce,,,4,,,,22,,,,,"Calle Guadalupe, #184, Piso2",Ponce,,00730,,,,,,,,,18.0149,-66.619,"Ponce, PR","Ponce, PR",Metro,38660,,,"Ponce-Coamo-Santa Isabel, PR",434.0,113,72113,72,113,33,for-profit,nan,
41,6040369,1407800469.0,404007,Hospital Psiquiatrico Metropolitano,,,4,10116.0,123116.0,10117.0,22,,,,,108 Munoz Rivera Street,Cabo Rojo,,00623-4060,,,,,,,,,18.0848,-67.1454,"Cabo Rojo, PR","San German, PR",Metro,41900,,,"Mayaguez-San German, PR",364.0,23,72023,72,23,33,for-profit,nan,
42,6040370,1770580813.0,400001,Ashford Presbyterian Community Hospital,,,4,70115.0,63016.0,70116.0,10,,,,,1451 Avenue Ashford,San Juan,,00907-1511,,,,,,,,,18.454933,-66.065239,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,23,non-profit,nan,
43,6040377,,400015,San Juan City Hospital,,,4,,,,10,,,,,Puerto Rico Medical Center,San Juan,,00928,,,,,,,,,18.3995,-66.0492,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,14,Government-NonFederal,nan,
44,6040382,,400130,Metropolitano De La Montana,,,4,,,,10,,,,,Calle Issac Gonzalez Martinez,Utuado,,00641,,,,,,,,,,,"Utuado, PR","Aguadilla-Isabela, PR",Metro,10380,,,,,141,72141,72,141,33,for-profit,nan,
45,6040391,,400104,Hospital Menonita De Caguas,,,4,,,,10,,,,,P.O. Box 6660,Caguas,,00726-6660,,,,,,,,,18.2236,-66.0529,"Caguas, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,27,72025,72,25,23,non-profit,nan,
46,6040395,,400121,Hospital San Gerardo,,,4,,,,48,,,,,138 Avenue Winston Churchill,San Juan,,00926-6013,,,,,,,,,18.3615,-66.0587,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,23,non-profit,nan,
47,6040396,,018487,Hospital San Antonio,,,4,,,,10,,,,,Calle Dr Ramon Emeterio Betances N #18,Mayaguez,,00680,,,,,,,,,18.2017,-67.1409,"Mayaguez, PR","Mayaguez, PR",Metro,32420,,,"Mayaguez-San German, PR",364.0,97,72097,72,97,23,non-profit,nan,
48,6040397,,,Hospital de Psiquiatria Forense,,,4,,,,22,,,,,Road 14,Ponce,,00731,,,,,,,,,18.0351,-66.5951,"Ponce, PR","Ponce, PR",Metro,38660,,,"Ponce-Coamo-Santa Isabel, PR",434.0,113,72113,72,113,12,Government-NonFederal,nan,
49,6040400,,,Veterans Affairs Caribbean Healthcare System,Department of Veterans Affairs,9295.0,4,100115.0,93016.0,100116.0,10,,,,,10 Casia Street,San Juan,,00921-3201,810 VERMONT AVENUE NW,WASHINGTON,DC,20420-0001,202.0,2735781.0,Dr. David J Shulkin,"Secretary, Veterans Affairs",18.3928,-66.08800000000001,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,45,Government-Federal,20420,"810 VERMONT AVENUE NW , WASHINGTON , DC , 20420"
50,6040405,1144293705.0,404005,San Juan Capestrano Hospital,"Acadia Healthcare Company, Inc.",91.0,4,10116.0,123116.0,10117.0,22,,,,,"Rural Route 2, Box 11",San Juan,,00926,"830 CRESCENT CENTRE DRIVE, SUITE 610",FRANKLIN,TN,37067-7323,615.0,8616000.0,Mr. Joey Jacobs,Chairman and Chief Executive Officer,18.3759,-66.07,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,37067,"830 CRESCENT CENTRE DRIVE, SUITE 610 , FRANKLIN , TN , 37067"
51,6040420,,400006,Doctors' Center Hospital San Juan,,,4,10116.0,123116.0,10117.0,10,,,,,1395 San Rafael Street,San Juan,,00909-2518,,,,,,,,,18.445560999999998,-66.07355600000001,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,nan,
52,6040425,1023107182.0,400112,Hospital de la Universidad de Puerto Rico/Dr. Federico Trilla,,,4,,,,10,,,,,"65th Infanteria, KM 8 3",Carolina,,00984,,,,,,,,,18.402,-65.9782,"Carolina, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,31,72031,72,31,33,for-profit,nan,
53,6040432,,400128,Hospital Pavia-Hato Rey,United Medical Corporation,9605.0,4,,,,10,,,,,435 Ponce De Leon Avenue,San Juan,,00917-3428,603 MAIN STREET,WINDERMERE,FL,34786-3548,407.0,8762200.0,Mr. Donald R Dizney,Chairman and Chief Executive Officer,18.419937,-66.05619399999999,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,34786,"603 MAIN STREET , WINDERMERE , FL , 34786"
54,6040435,1467417865.0,400019,Hospital Pavia-Santurce,United Medical Corporation,9605.0,4,,,,10,,,,,1462 Asia Street,San Juan,,00909-2143,603 MAIN STREET,WINDERMERE,FL,34786-3548,407.0,8762200.0,Mr. Donald R Dizney,Chairman and Chief Executive Officer,18.445091,-66.070207,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,34786,"603 MAIN STREET , WINDERMERE , FL , 34786"
55,6040444,,,San Jorge Children's Hospital,United Medical Corporation,9605.0,4,10116.0,123116.0,10117.0,50,,,,,"252 San Jorge Street, Santurce",San Juan,,00912-3310,603 MAIN STREET,WINDERMERE,FL,34786-3548,407.0,8762200.0,Mr. Donald R Dizney,Chairman and Chief Executive Officer,18.447333,-66.06289699999999,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,34786,"603 MAIN STREET , WINDERMERE , FL , 34786"
56,6040445,,400012,I. Gonzalez Martinez Oncologic Hospital,,,4,,,,41,,,,,Puerto Rico Medical Center,Hato Rey,,00935,,,,,,,,,18.453,-66.0557,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,23,non-profit,nan,
57,6040448,1790902641.0,,Industrial Hospital,,,4,,,,10,,,,,Puerto Rico Medical Center,San Juan,,00936,,,,,,,,,18.4174,-66.0761,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,12,Government-NonFederal,nan,
58,6040475,,404004,First Hospital Panamericano,"Universal Health Services, Inc.",9555.0,4,,,,22,,,,,State Road 787 KM 1 5,Cidra,,00739,367 SOUTH GULPH ROAD,KING OF PRUSSIA,PA,19406-3121,610.0,7683300.0,Mr. Alan B Miller,Chairman and Chief Executive Officer,18.1707,-66.1561,"Cidra, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,41,72041,72,41,33,for-profit,19406,"367 SOUTH GULPH ROAD , KING OF PRUSSIA , PA , 19406"
59,6040500,,403301,University Pediatric Hospital,Puerto Rico Department of Health,11.0,4,,,,50,,,,,"Barrio Monacenno, Carretera 22",Rio Piedras,,00935,BUILDING 'A' - MEDICAL CENTER,SAN JUAN,PR,00936,787.0,7652929.0,Mr. Rafael Rodriguez Mercado,Secretary of Health,18.453,-66.0557,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,12,Government-NonFederal,00936,"BUILDING 'A' - MEDICAL CENTER , SAN JUAN , PR , 00936"
60,6048006,,400131,Caribbean Medical Center,,,4,,,,10,,,,,151 Avenue Osvaldo Molina,Fajardo,,00738-4013,,,,,,,,,18.3325908,-65.6506899,"Fajardo, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,53,72053,72,53,23,non-profit,nan,
61,6048007,1093942617.0,404009,Centro De Salud Conductual Menonita-CIMA,,,4,,,,22,,,,,Carretera Estatal 14 Interior,Aibonito,,00705,,,,,,,,,18.0848,-67.1454,"Aibonito, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,9,72009,72,9,23,non-profit,nan,
62,6048008,,,Hospital Psiquiatrico Correccional,,,4,,,,10,,,,,PMB 302 P O Box 70344,San Juan,,00936,,,,,,,,,,,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,12,Government-NonFederal,nan,
63,6048009,,400127,Hospital Cuidado Agudo Especializado En Pacientes Politraumatizados,,,4,,,,10,,,,,"Carr. Num. 22 BO. Monacillos, Centro Medico",San Juan,,00922-2129,,,,,,,,,18.3915,-66.0749,"Moca, PR","Aguadilla-Isabela, PR",Metro,10380,,,,,99,72099,72,99,23,non-profit,nan,
64,6050010,,480001,Schneider Regional Medical Center,,,5,100115.0,93016.0,100116.0,10,,,,,"9048 Sugar Estate, Charlotte Amalie",Saint Thomas,,00802,,,,,,,,,18.3436,-64.9322,"St. Thomas, VI",,Rural,0,,,,,30,78030,78,30,16,Government-NonFederal,nan,
65,6050015,,480002,Governor Juan F. Luis Hospital,,,5,,,,10,,,,,4007 Estate Diamond Ruby,Christiansted,,00820-4421,,,,,,,,,17.7473,-64.7041,"St. Croix, VI",,Rural,0,,,,,10,78010,78,10,12,Government-NonFederal,nan,
66,6060015,,650001,Guam Memorial Hospital Authority,,,6,,,,10,,,,,850 Governor Carlos G Camacho Road,Tamuning,,96913,,,,,,,,,13.4631,-144.7988,"Guam, GU",,Rural,0,,,,,10,66010,66,10,16,Government-NonFederal,nan,
67,6060020,,,U. S. Naval Hospital Guam,"Bureau of Medicine and Surgery, Department of the Navy",9655.0,6,,,,10,,,,,Building #50 Farenholt Avenue,Agana,,96910,"7700 ARLINGTON BOULEVARD, SUITE 5126",FALLS CHURCH,VA,22042,202.0,7623701.0,Mr. Bryce H.P. Mendez,Healthcare Policy Analyst,13.4738,144.7405,"Guam, GU",,Rural,0,,,,,10,66010,66,10,43,Government-Federal,22042,"7700 ARLINGTON BOULEVARD, SUITE 5126 , FALLS CHURCH , VA , 22042"
68,6060346,,,Guam Regional Medical City,,,6,,,,10,,,,,133 Route 3,Dededo,,96932,,,,,,,,,13.5248,144.8233,"Guam, GU",,Rural,0,,,,,10,66010,66,10,33,for-profit,nan,
69,6070010,,640001,Lyndon B. Johnson Tropical Medical Center,,,7,,,,10,,,,,Faga'alu Village,Pago Pago,,96799,,,,,,,,,14.277999999999999,-170.7025,Amer. Samoa,,Rural,0,,,,,50,60050,60,50,12,Government-NonFederal,nan,
70,6080001,,660001,Commonwealth Health Center,,,8,,,,10,,,,,Navy Hill Road,Saipan,,96950,,,,,,,,,15.2119,145.7243,"Saipan, MP",,Rural,0,,,,,10,69110,69,110,33,for-profit,nan,
71,6110002,1215940523.0,204006,Acadia Hospital,Eastern Maine Healthcare Systems,555.0,11,92715.0,92416.0,92516.0,22,20002.0,"Bangor, ME","Bangor, ME",221.0,268 Stillwater Avenue,Bangor,,04401-3945,43 WHITING HILL ROAD,BREWER,ME,04412-1005,207.0,9737045.0,Ms. M. Michelle Hood,President and Chief Executive Officer,44.82043,-68.76216099999999,"Penobscot, ME","Bangor, ME",Metro,12620,,,,,19,23019,23,19,23,non-profit,04412,"43 WHITING HILL ROAD , BREWER , ME , 04412"
72,6110003,1932164795.0,200021,Mid Coast Hospital,,,11,100115.0,93016.0,100116.0,10,20010.0,"Brunswick, ME","Portland, ME",222.0,123 Medical Center Drive,Brunswick,,04011-2652,,,,,,,,,43.908764,-69.891572,"Cumberland, ME","Portland-South Portland, ME",Metro,38860,,,"Portland-Lewiston-South Portland, ME",438.0,5,23005,23,5,23,non-profit,nan,
